User Account,Followers,Tweets,Retweets,Text,Date,Location,Hashtags,Sentiment,Category
thee_prof1,179,26660,0,"get online class homework assignment and exam expert help 
excel
project
math
essay due
pay write
english",2023-02-16 20:47:46+00:00,"Los Angeles, CA","['excel', 'Project', 'math', 'Essay', 'Pay', 'English']",negative,Excel
scottsewell,2617,4132,2,"you cant improve what you dont measure 
heres a quick intro to measuring the performance of your powerbi ref",2023-02-16 20:14:23+00:00,"Henderson, TN",['PowerBI'],positive,Power BI
smootherconsult,7,68,1,check out powerbis new updates for the month heres one we like right off the bat what updates are you excited,2023-02-16 20:05:39+00:00,"Kirkland, WA",['PowerBI'],positive,Other
LydonSolutions,319,1850,0,quickly create business intelligence reports in power bi using your microsoft sharepoint list schema and data with,2023-02-16 20:02:50+00:00,"Brea, CA",[],positive,Power BI
luciferumrex,15,1050,0,sexuality is an spectrum within its own limits heterobihomo its doesnt work like this peopl,2023-02-16 20:00:07+00:00,"Guadalajara, Jalisco",[],positive,Other
CptJamesForce,764,12584,0,yep im a sales and financial analyst so i get to play in excel and power bi all day i absolutely love it,2023-02-16 19:56:43+00:00,Netherlands,[],positive,Excel
Agradewriters,605,10166,0,"hey 
you need perfect scores and completely ai proof content in your assignments and essays
we are your best mad",2023-02-16 19:43:13+00:00,"Berkeley, CA",[],positive,Other
kpuls,6621,6583,1,on thurs march 9  will be presenting at our vancouver powerbi and modern excel meetup rsvp here,2023-02-16 19:39:50+00:00,"Nanaimo, BC, Canada","['PowerBI', 'Excel']",positive,Excel
iterinsights,46,506,0,"the calgary ppug is 5 days away

join mike carlo and chris sorensen as they dive into skills for enterprise power",2023-02-16 19:00:18+00:00,"Calgary, Alberta",[],neutral,Other
IntelequiaEN,1186,554,0,did you know that powerbi allows the execution of python scripts to perform different tasks such as loading data,2023-02-16 19:00:16+00:00,USA - SPAIN,"['PowerBI', 'Python']",neutral,Power BI
Vipuls2010,46,353,0,data analysts dont choose their companys visualization tools you are expected to use whatever the company alread,2023-02-16 18:51:10+00:00,USA,[],negative,Other
Vipuls2010,46,353,1,"what are the best data visualization and dashboarding tool

power bi
tableau
qlik
looker
excel
google data st",2023-02-16 18:51:09+00:00,USA,[],positive,Excel
TheDiligent01,44,924,0,"anyone who needs assistance in

mathematicspurestats
sciences
engineeringtechnical tasks
matlab 
python
web
ac",2023-02-16 18:47:45+00:00,"Washington, DC",[],neutral,Python
AkvelonInc,1394,5362,1,"our team has updated our plotlyjs powerbi  visual with several new features

download the visual here",2023-02-16 18:26:57+00:00,"Bellevue, WA",['PowerBI'],positive,Power BI
2ndwatch,940,3943,0,there are many options when it comes to dataanalytics tools choosing the right one for your company will depend o,2023-02-16 18:19:49+00:00,"Seattle, WA",['dataanalytics'],positive,Other
skypointcloud,913,2214,0,join our next powerbi discussion on 222 at 5pm pst well be led by george bryant of  for a discu,2023-02-16 17:20:12+00:00,"Portland, OR",['powerbi'],neutral,Power BI
ShriBhupathi,152,3547,0,announcing availability expansion of the ssrs migration tool to power bi   azure powerbi reports dashboards,2023-02-16 17:18:01+00:00,"Boston, MA","['azure', 'powerbi', 'reports', 'dashboards']",neutral,Power BI
pro_damperr,43,1038,0,"get an expert tutor in the following fields 

javascript 
cc
python
mobile development
java
sql
data science
wi",2023-02-16 17:08:09+00:00,"New York, USA",[],neutral,Python
PowerBIFeeds,45,631,0,news announcing availability expansion of the ssrs migration tool to power bi powerbi,2023-02-16 17:06:18+00:00,"Seattle, WA","['News', 'powerbi']",neutral,Power BI
MissCo_okie,194,4648,0,announcing availability expansion of the ssrs migration tool to power bi  via,2023-02-16 16:58:24+00:00,"Phoenix, AZ",[],neutral,Power BI
FerriotInc,210,1342,0,heres something cool we want to share a timelapsed video showing the installation and setup of our new 2250to,2023-02-16 16:30:01+00:00,"Akron, Ohio",[],positive,Other
JayPowerBI,3993,8169,11,announcing availability expansion of the ssrs migration tool to power bi  powerbi,2023-02-16 16:17:41+00:00,"Duvall, WA",['PowerBI'],neutral,Power BI
NickyvV,1077,11450,0,"theres power bi news announcing availability expansion of the ssrs migration tool to power bi
theres more info",2023-02-16 16:15:49+00:00,Netherlands,[],positive,Power BI
DigitalogyCorp,960,1968,0,"use args and kwargs to give some extra power to your function in python

python pythonprogramming pythoncode",2023-02-16 16:14:23+00:00,"Virginia, USA","['python', 'pythonprogramming', 'pythoncode']",neutral,Python
O365News,127,8064,0,powerbi announcing availability expansion of the ssrs migration tool to power bi,2023-02-16 16:12:20+00:00,Earth,[],neutral,Power BI
GoCloudMoyo,690,4258,0,how can you estimate the cost of powerbi for your organization  with the help of this power bi pricing calculato,2023-02-16 16:06:00+00:00,"Bellevue, WA",['PowerBI'],neutral,Power BI
DataEstateAdvsr,17172,42906,0, announcing availability expansion of the ssrs migration tool to power bi,2023-02-16 15:55:31+00:00,"Cleveland, OH",[],neutral,Power BI
gerald90030987,15,1522,0,i am trying to stop my subscription to power bi and power apps none of the direction i recieve work i,2023-02-16 15:45:36+00:00,Dallas,[],neutral,Power BI
Nabil_Nawaz,411,1157,0,im speaking in dallas next week on tue feb 21st at 6 pm topic is supercharge your bi applications with tidb,2023-02-16 15:42:33+00:00,"Dallas, TX",['Dallas'],neutral,Other
pb_analytics,24,53,0,i really hope that you guys enjoyed this thread and please let me know of any feedback so that i can try to do the,2023-02-16 15:25:00+00:00,"Charlotte, NC, USA",[],positive,Other
key2consulting,733,1814,0,powerbi has a multitude of cuttingedge capabilities from machinelearning and ai to various integrations and cl,2023-02-16 15:10:53+00:00,"Atlanta, GA","['PowerBI', 'machinelearning', 'AI']",neutral,Power BI
StyledNicky,92,144,0,hi i want to get into tech but im not sure what roles i can get into with my current qualificati,2023-02-16 14:53:07+00:00,Berkshire,[],negative,Other
InfoBurst,147,839,0,check out the infoburst 20231 overview webinar topics include businessobjects bi 43 sp03 support power bi filte,2023-02-16 14:50:31+00:00,"Phoenix, AZ",[],neutral,Power BI
gjmount,4331,25064,3,a reader shared his italianlanguage review of my book advancing into analytics  grazie massimo rstats python,2023-02-16 14:31:41+00:00,"Cleveland, OH","['rstats', 'python']",neutral,Python
theNineofClubs,26,5019,0,just say it was excel but use r or python what kind of analysis,2023-02-16 14:17:52+00:00,FoCO,[],positive,Excel
Apress,11971,19097,0,develop robust data models that bind data from disparate sources into a coherent whole then extend your data model,2023-02-16 14:04:11+00:00,"New York, NY",[],positive,Other
GregDeckler,794,2335,0,"today is day number 4238 that table and matrix measure totals have been broken in power bi
please vote",2023-02-16 14:01:00+00:00,"Columbus, OH",[],negative,Power BI
powerbipro,5662,1949,0,trying to ask powerbi questions on forumsis like trying to describe a painting  to someone over the phone avoi,2023-02-16 14:00:10+00:00,"Seattle, WA",['PowerBI'],neutral,Power BI
algoworks,4902,47802,1,"data is the backbone of every successful business  

want to unlock the power of your data and make better deci",2023-02-16 14:00:02+00:00,"Sunnyvale, CA 94086",['data'],positive,Other
PowerBITips,15890,1914,1,data manipulation  ep189  power bi tips from the real world,2023-02-16 13:31:20+00:00,"Wisconsin, USA",[],positive,Power BI
MTY_Barraza,444,29083,0,"powerbi
bright international communities  unleashing the power of power bi amp automl maximizing data insights amp a",2023-02-16 13:08:07+00:00,"Monterrey, NL ",['PowerBI'],positive,Power BI
MTY_Barraza,444,29083,0,"powerbi
power bi studio  power bi card visuals  enhanced dashboard look  round edged cards ",2023-02-16 13:08:07+00:00,"Monterrey, NL ",['PowerBI'],negative,Power BI
thee_prof1,179,26660,0,"get online exam help with 

 software works

ansys

autocad

cc

data science

discrete mathematics

graphic des",2023-02-16 12:14:50+00:00,"Los Angeles, CA",[],neutral,Other
AirQuery,7,123,0,allows you to carry out business workflows synchronize data across the enterprise amp set up accessibilit,2023-02-16 12:00:31+00:00,"Atlanta, GA",[],neutral,Other
thee_prof1,179,26660,0,"get you an online class homework assignment and exam expert tutor help on software works

ansys

autocad

cc

d",2023-02-16 10:41:39+00:00,"Los Angeles, CA",[],neutral,Other
csssoft,3966,27092,1,power bi desktop vs power bi service vs power bi premium  powerbi,2023-02-16 10:25:12+00:00,"North Carolina, USA",['powerbi'],neutral,Power BI
Python_Dv,21926,3884,84,"how to build interactive excel dashboard with python 
python dash excel",2023-02-16 09:00:00+00:00,United States,"['python', 'dash', 'excel']",neutral,Excel
SociologyPro,33,93,0,"let experts handle your work 
excel
assignments 
calculus 
homework
paper pay
homeworkhelp 
onlineclass",2023-02-16 08:58:12+00:00,"Seattle, WA","['Excel', 'Assignments', 'calculus', 'homework', 'Paper', 'Homeworkhelp', 'Onlineclass']",neutral,Excel
MarkKoops,1255,43153,0,"spends 3 years learning languages like c python c
gets hired
spends first year fixing excel spreadsheets",2023-02-16 08:37:54+00:00,earth,[],positive,Excel
Vipuls2010,46,353,1,"𝗪𝗵𝗮𝘁 𝗮𝗿𝗲 𝘁𝗵𝗲 𝗳𝗼𝘂𝗿 𝗽𝗶𝗹𝗹𝗮𝗿𝘀 𝗼𝗳 𝗣𝗼𝘄𝗲𝗿 𝗕𝗜

power bi is a remarkable set of tools that allows business users or anybod",2023-02-16 05:37:10+00:00,USA,[],positive,Power BI
TenaciousData,90,371,0,when power,2023-02-16 04:32:21+00:00,"madison, wi",[],neutral,Other
HammerWatch44,50,10923,0,what do you do slap like a bich no wonder you guys like to watch power slaps tournaments and n,2023-02-16 04:16:56+00:00,"Orlando, FL",[],neutral,Other
CaseysCharts,1143,29179,0,excel is so old its all about power bi,2023-02-16 02:34:31+00:00,"Chicago, IL",[],positive,Excel
DataEstateAdvsr,17172,42906,0, power bi february 2023 feature summary,2023-02-16 02:33:23+00:00,"Cleveland, OH",[],neutral,Power BI
Rob_Veline,215,2896,0,oh man i interviewed at uchicago some years ago and got stuck at midway overnight the power outlet,2023-02-16 02:01:07+00:00,Manhattan,[],neutral,Other
ShriBhupathi,152,3547,0,power bi february 2023 feature summary   azure powerbi reports dashboards,2023-02-16 01:54:00+00:00,"Boston, MA","['azure', 'powerbi', 'reports', 'dashboards']",neutral,Power BI
elitepwriter,429,10558,1,"hmu for excel assignments and projects
 someone to do final exams
artificialintelligence ai ml datascience",2023-02-16 01:36:52+00:00,"New Orleans, LA","['ArtificialIntelligence', 'AI', 'ML', 'DataScience']",neutral,Excel
elitepwriter,429,10558,1,"hire us for  excel assignments and projects
 someone to do my assignment
essay due

artificialintelligence ai ml",2023-02-16 01:36:50+00:00,"New Orleans, LA","['ArtificialIntelligence', 'AI', 'ML']",negative,Excel
NetSpringIO,51,66,1,watch this short video to learn how a warehousenative approach is ushering in the nextgeneration of selfservice,2023-02-16 01:05:37+00:00,"Redwood City, California, USA",[],neutral,Other
PowerBITips,15890,1914,0,blog is now out,2023-02-16 01:01:59+00:00,"Wisconsin, USA",[],neutral,Other
PowerBITips,15890,1914,0,"join the iowa power bi user group for a great session from narayana windenberger from  

hoping a for an",2023-02-16 00:36:49+00:00,"Wisconsin, USA",[],positive,Power BI
varun_jain,856,7436,0,power bi february 2023 feature summary  via,2023-02-15 23:54:20+00:00,Seattle,[],neutral,Power BI
darjohn25,13424,28205,0,im sure youve already done this but run some research in python or r or excelampanaly,2023-02-15 23:48:29+00:00,"Castle Rock, CO",[],positive,Python
anacondainc,84162,10509,6,"are you an excel user this class was made for you

in  next live course learn how to incorporate",2023-02-15 23:37:13+00:00,"Austin, TX",['Excel'],positive,Excel
JerenPortillo,94,137,0,in search of streamlined ways to provide critical educational data sanbernardino county launched a portal with emb,2023-02-15 23:36:02+00:00,"Redlands, CA",[],positive,Other
marcreguera,3834,4736,0,powerbi feb update,2023-02-15 22:50:41+00:00,"Seattle, WA",['powerbi'],neutral,Power BI
P3Adaptive,8465,9880,1,discover how to take your financial analysis skills to the next level and witness the power of advanced dax within,2023-02-15 22:31:06+00:00,United States,[],positive,Other
goodswelltrades,40,208,0,this is great how did you achieve this did you use the openbb sdk an,2023-02-15 22:19:45+00:00,"San Diego, CA",[],positive,Other
LAJMoore,165,4900,1,"today in a meeting my boss said

i have designated you as our data guru since you know how to use power bi

i",2023-02-15 22:15:50+00:00,"New Orleans, LA",[],neutral,Power BI
yasinbaskan,829,2401,0,more automation for configuring microsoft tools to talk to the autonomous database,2023-02-15 22:11:22+00:00,"Bay Area, CA",[],positive,Other
darrengosbell,1878,480,0,apparently the gist with the script was not always rendering properly on my blo,2023-02-15 21:51:24+00:00,Australia,[],positive,Other
shan_gsd,3666,5170,0,just found this neat idea to describe measures  check out  blog,2023-02-15 21:27:45+00:00,"Santa Fe, NM",[],neutral,Other
usacechicago,502,538,1,usacechicago was proud to host bg peeples from  today as she visited our district to learn about power bi,2023-02-15 21:13:18+00:00,"Chicago, IL",['USACEChicago'],positive,Power BI
marcreguera,3834,4736,1,powerbi with chatgpt for measure descriptions,2023-02-15 20:55:57+00:00,"Seattle, WA",['powerbi'],neutral,Power BI
diondrak_,670,4876,0,same here i personally prefer xlookup yes i have the same experience with them excel power query i,2023-02-15 20:47:05+00:00,"Goodyear, AZ",[],neutral,Excel
statisticianjam,102,7745,0,"hit me up for help with power bi
email me statisticianjames",2023-02-15 20:38:21+00:00,Georgia,[],neutral,Power BI
shan_gsd,3666,5170,8,"its here whats your favorite new feature 

powerbi",2023-02-15 20:30:41+00:00,"Santa Fe, NM",['PowerBI'],positive,Power BI
diondrak_,670,4876,1, excel power query amp power pivot are what threw me off then they released some newer functionsfor,2023-02-15 20:24:20+00:00,"Goodyear, AZ",[],neutral,Excel
tlachev,1331,856,1,"new post demystifying power bi dataset scaleout 
microsoft announced a public p",2023-02-15 20:19:07+00:00,Atlanta,[],positive,Power BI
becktechnology,814,4540,0,destini estimator has a historical cost integration with power bi to view a portfolio of projects data no manual,2023-02-15 20:08:59+00:00,"Dallas, TX",[],neutral,Power BI
powerbipro,5662,1949,0,powerbi is supposed to be easy right but then why do you keep getting stuck when trying to use it with your own,2023-02-15 20:00:07+00:00,"Seattle, WA",['PowerBI'],positive,Power BI
NeowinFeed,30963,63215,0,the latest updates to the platform are reporting and visualizationscentric though typescript support for embedde,2023-02-15 19:42:02+00:00,"Plymouth, MI",[],positive,Other
RedeemedDoug,443,7273,0,"i am in the process of learning advanced excel amp power bi in linkedin learning  
i thought i was advanc",2023-02-15 19:41:20+00:00,United States,[],positive,Excel
MissCo_okie,194,4648,0,check out this event  paginated reports with and without power bi datasets when why and how,2023-02-15 19:15:41+00:00,"Phoenix, AZ",[],neutral,Power BI
VisProcess,573,4080,0,you wont be surprised when i tell you its the visio visual too few people know it exists yet it can ad,2023-02-15 19:14:31+00:00,"Andover, MA, USA",[],negative,Other
WonderLaura,20536,28503,0,"my power hour powerbi in a sharepoint list 
learn how to use the integration directly from a list and even twea",2023-02-15 19:13:38+00:00,"Birmingham, Alabama","['PowerBI', 'SharePoint']",positive,Power BI
MaureenJ120,40,701,0,taking back your power and removing blocks the shamans cave renee barib  via,2023-02-15 18:59:04+00:00,"Massachusetts, USA",[],neutral,Other
diondrak_,670,4876,3,"also pray for me as i take on these new tasks 

 developing a course with a learning platform to teach data anal",2023-02-15 18:56:32+00:00,"Goodyear, AZ",[],positive,Other
marybethburns,77,938,0,one day training with nexus trainers on microsoft power bi dont miss out on this opportunity april 25th,2023-02-15 18:39:01+00:00,"Fargo, ND",[],neutral,Power BI
MTY_Barraza,444,29083,0,"powerbi
power bi the ultimate guide  add check boxes in excel ",2023-02-15 18:07:17+00:00,"Monterrey, NL ",['PowerBI'],neutral,Excel
DevTobs,37886,1801,84,excel  sql  power bitableau  pythonr  ,2023-02-15 18:00:00+00:00,"Richmond, VA",[],neutral,Excel
knight_devin,3526,12462,0,power bi february 2023 feature summary,2023-02-15 17:59:02+00:00,"Jacksonville, FL, USA",[],neutral,Power BI
MTY_Barraza,444,29083,0,"powerbi
new article from mspowerbi power bi february 2023 feature summary check it out at",2023-02-15 17:48:38+00:00,"Monterrey, NL ",['PowerBI'],positive,Power BI
JayPowerBI,3993,8169,6,power bi february 2023 feature summary  powerbi,2023-02-15 17:47:18+00:00,"Duvall, WA",['PowerBI'],neutral,Power BI
NickyvV,1077,11450,0,"theres power bi news power bi february 2023 feature summary
you can read more details here",2023-02-15 17:45:31+00:00,Netherlands,[],positive,Power BI
MissCo_okie,194,4648,0,publishmigrate your rdl files from power bi report server to the service  via,2023-02-15 17:43:50+00:00,"Phoenix, AZ",[],neutral,Power BI
O365News,127,8064,0,powerbi power bi february 2023 feature summary,2023-02-15 17:42:04+00:00,Earth,[],neutral,Power BI
WithumDigital,1109,4140,1,having  powerbi is great but it isnt always enough to deliver answers amp solutions to business needs,2023-02-15 17:38:57+00:00,"Bethesda, MD",['PowerBI'],positive,Power BI
MSPowerBI,160981,16189,1,"roses are red
violets are blue
we may be biased
but power bi is here for you ",2023-02-15 17:21:09+00:00,"Redmond, WA",[],neutral,Power BI
PMacc94,166,11573,0,while were on the topic do you only criticize liberals for being unethical or will you call out,2023-02-15 17:11:51+00:00,Ontario,[],neutral,Other
MTY_Barraza,444,29083,0,"powerbi
data with baraa  stop using excel 6 reasons to switch to bi tools  tableau course 4 ",2023-02-15 16:52:13+00:00,"Monterrey, NL ",['PowerBI'],neutral,Excel
bobbypinero,2164,828,0,"today equals now combines the full power of a spreadsheet with the automation of bi

equals not only connects nati",2023-02-15 16:39:18+00:00,San Francisco,[],positive,Other
miguel44483656,5,34,1,wednesdaythought are you an advanced python developer looking to customize class creation attributes and method,2023-02-15 16:37:22+00:00,United States,['WednesdayThought'],positive,Python
softwebchicago,1866,10740,0,power bi empowers organizations to collate and analyze all sorts of structured unstructured and semistructured ,2023-02-15 16:36:05+00:00,"Chicago, IL, USA",[],neutral,Power BI
dataself,573,3922,0,"next week 223
bi made easy fasttrack your business intelligence initiatives
join us amp our friends at",2023-02-15 16:29:45+00:00,"Silicon Valley, CA",[],positive,Other
_PolyGurrola,219,19197,0,curso power bi ,2023-02-15 16:17:17+00:00,"Saltillo, Coahuila de Zaragoza",[],neutral,Power BI
KristaDeAyne,388,8694,36,sitting here mastering power automate amp power bi so i can go ahead and automate all my office work im all for tec,2023-02-15 16:10:51+00:00,"Michigan, USA",[],neutral,Power BI
MTY_Barraza,444,29083,0,"powerbi
solutions abroad  how to design eyecatching tables or matrix in power bi  beginners guide to power b",2023-02-15 16:07:11+00:00,"Monterrey, NL ",['PowerBI'],neutral,Power BI
MTY_Barraza,444,29083,0,"powerbi
guy in a cube  publishmigrate your rdl files from power bi report server to the service ",2023-02-15 16:07:11+00:00,"Monterrey, NL ",['PowerBI'],neutral,Power BI
GuyInACube,23854,18430,9,using onpremises powerbi report server you can now migrate your paginated rdl reports to the power bi service fr,2023-02-15 16:05:00+00:00,"Conroe, TX",['PowerBI'],neutral,Power BI
scrumtuous,107686,28552,0,"sounds like python really lacks a lot of basic features
its like a go car with a power on button
ill d",2023-02-15 16:01:33+00:00,"Toronto, Ontario",[],positive,Python
JayPowerBI,3993,8169,1,its ideascleanup day again please help henrytheowlpbi to clean up powerbi ideas  see,2023-02-15 16:00:33+00:00,"Duvall, WA","['IdeasCleanup', 'PowerBI']",positive,Power BI
IIBARTPChapter,91,1405,0,is hosting dashboard in a day for power bi day on 25 february 2023 9 am  5pm est ,2023-02-15 15:58:00+00:00,"Research Triangle Park, NC",[],neutral,Power BI
PowerBITips,15890,1914,2,"power bi desktop for february is now out

go download it now 


21146640 64bit febr",2023-02-15 15:42:40+00:00,"Wisconsin, USA",[],neutral,Power BI
python_spaces,42472,1107,58,"bring the power of ai to your databases using  

apply the power of openais gpt3 and hugging face models",2023-02-15 15:40:45+00:00,Remote,[],neutral,Other
MTY_Barraza,444,29083,0,"powerbi
maria sahanjancs  hotel reviews_report in power bi ",2023-02-15 15:07:08+00:00,"Monterrey, NL ",['PowerBI'],neutral,Power BI
PragmaticWorks,3073,11591,0,our next free event is your chance to learn how to simplify complex data to help your audience engage and make crit,2023-02-15 15:02:03+00:00,"Jacksonville, Florida",[],positive,Other
DavidBensh,32,171,0,"predictive analytics is built with excel
machine learning is built with python
artificial intelligence",2023-02-15 15:00:43+00:00,NYC,[],negative,Excel
mrb1618,48,266,0,this is my experience in the battery engineering area numerous oneoff calculations need to go out eve,2023-02-15 14:55:27+00:00,Minnesota,[],neutral,Other
ArtisConsulting,282,1127,0,new video  how to embed base 64 images in power bi that exceed the character limit,2023-02-15 14:04:37+00:00,"Dallas, TX",[],negative,Power BI
GregDeckler,794,2335,0,"new mshgqm video is out building datamarts in power bi 

microsoft powerbi datamarts microsofthatesgreg",2023-02-15 14:02:37+00:00,"Columbus, OH","['MSHGQM', 'microsoft', 'powerbi', 'datamarts', 'MicrosoftHatesGreg']",positive,Power BI
GregDeckler,794,2335,0,"today is day number 4237 that table and matrix measure totals have been broken in power bi
please vote",2023-02-15 14:01:00+00:00,"Columbus, OH",[],negative,Power BI
powerbipro,5662,1949,0,you tried using powerbi with your own dataand got stuck may be you hit the dax wall  got twisted  or couldn,2023-02-15 14:00:09+00:00,"Seattle, WA",['PowerBI'],positive,Power BI
mdancho84,26138,7798,63,"90 of data scientists struggle with forecasting 

so i made an article to help 

this tutorial will get you star",2023-02-15 13:37:02+00:00,"Pittsburgh, PA",[],neutral,Other
LegitOnlineTut1,417,26685,0,"are you overwhelmed by too many assignments and probably need someone to help
please dm us for help with
essay
mat",2023-02-15 13:21:29+00:00,"New York, USA",[],positive,Other
Techs_Global,7780,4551,3,i finished the script in python  this regression uses the statsmodels module as opposed to excel data solver in t,2023-02-15 12:47:00+00:00,"Charlotte, NC",[],neutral,Excel
MTY_Barraza,444,29083,1,"powerbi
ivyproschool  power bi interview questions and answers  basic to intermediate level  ivyproschool ",2023-02-15 12:22:01+00:00,"Monterrey, NL ",['PowerBI'],neutral,Power BI
lizasisler,4478,17362,0,new blog post dax best approaches in power bi,2023-02-15 12:06:16+00:00,"Cary, NC",[],positive,Power BI
AirQuery,7,123,0,solutions can help organizations overcome the challenges of legacy data reporting and achieve success i,2023-02-15 12:00:28+00:00,"Atlanta, GA",[],positive,Other
iwebscrapingseo,356,1071,0,web scraping in power bi  how to scrape data from a website in power bi,2023-02-15 11:37:44+00:00,"Houston, TX 77043 USA ",[],neutral,Power BI
aragaocb,36,283,1,i am with you on using power apps for data calls and merging for reports i am currently building a sy,2023-02-15 11:03:51+00:00,"East Providence, RI",[],neutral,Other
csssoft,3966,27092,1,power bi  master power bi with 40 hours of premium content  businessintelligence,2023-02-15 10:25:43+00:00,"North Carolina, USA",['businessintelligence'],neutral,Power BI
MTY_Barraza,444,29083,1,"powerbi
power bi park  level up with custom visuals in power bihtmlcalculation groupsdeneb ",2023-02-15 06:36:43+00:00,"Monterrey, NL ",['PowerBI'],neutral,Power BI
MTY_Barraza,444,29083,0,"powerbi
ksr datavizon   simple way to keep your power bi desktop updated  ksr datavizon ",2023-02-15 06:21:42+00:00,"Monterrey, NL ",['PowerBI'],neutral,Power BI
eprnetwork,2197,400009,0,europe power bi consulting service market 2023  industry product type application competitive landscape  2030 ,2023-02-15 05:58:54+00:00,US,[],neutral,Power BI
darrengosbell,1878,480,35,automatically generating measure descriptions for power bi and analysis services with chatgpt and tabular editor,2023-02-15 05:49:07+00:00,Australia,[],neutral,Power BI
jdprogress,1232,19311,0,jacksonville  the jacksonville fightin maidens reminded everyone at wagstaff gymnasium in tyler on tuesday night,2023-02-15 04:01:07+00:00,"Jacksonville, Texas",[],neutral,Other
gyp_casino,31,716,0,microsoft has been killing it  azure has a solid market share  vscode  github  wsl2  power bi an,2023-02-15 03:31:08+00:00,Philadelphia,[],neutral,Power BI
granitenetinc,131,2816,0,natural mineral water company ids borjomi ukraine was already using microsoftteams when they made the shift to,2023-02-15 03:30:00+00:00,"Royal Oak, MI",['MicrosoftTeams'],positive,Other
Im_Tirth1010,0,15,0,"where power bi admins stays im in search but didnt find any

powerbi powerbi_admin",2023-02-15 02:57:03+00:00,"Fulton, MD","['PowerBI', 'PowerBI_Admin']",neutral,Power BI
Olamiotan_,399,8429,0,i think im beginning to lose my designing touch in power bi,2023-02-15 02:46:30+00:00,Earth,[],neutral,Power BI
MTY_Barraza,444,29083,1,"powerbi
power bi tips  love excel or power bi  ep188  power bi tips from the real world ",2023-02-15 02:36:33+00:00,"Monterrey, NL ",['PowerBI'],positive,Excel
StumpToEmerald,2053,31415,0,for management purposes though ice on a layer of power bi so it looks nice and modern and we can use buzzwords like,2023-02-15 02:36:30+00:00,"Seattle, WA",[],positive,Power BI
BolesData,125,218,1,when i do a lot of work in power query creating a new model for a client close and apply changes back to power bi,2023-02-15 02:05:42+00:00,"Waco, TX",[],positive,Power BI
Coach_Zach32,2401,6698,0,i just completed the course introduction to power bi  via,2023-02-15 01:45:41+00:00,"Berkeley, CA",[],neutral,Power BI
ethanyeh,1343,3284,0,if youve ever thought or wished you could automate your excel spreadsheet worth checking out  from,2023-02-15 01:12:24+00:00,"San Francisco, CA",[],positive,Excel
marcreguera,3834,4736,0,great powerbi story about bayer,2023-02-15 00:53:53+00:00,"Seattle, WA",['powerbi'],positive,Power BI
CoachBourbonUSA,4031,252177,0,welp im pretty confident i pulled an a they changed my elective which starts friday also thats bs so i get to,2023-02-15 00:42:09+00:00,"Louisville, Ky",[],positive,Other
wishonyourheart,1106,25191,1,"the only relationships im building this valentines day is in power bi 
hahahaha amirite fellas",2023-02-15 00:26:15+00:00,"Houston, TX",[],positive,Power BI
MikeRudzinski,23,514,0,how many times have i wished i could do this easily in excel or power bi excited to try this out,2023-02-15 00:14:06+00:00,"Lexington, KY, United States",[],positive,Excel
diondrak_,670,4876,0,power bi has tested my patience today ,2023-02-14 23:33:59+00:00,"Goodyear, AZ",[],neutral,Power BI
shadyrudy,457,25534,0,i need to make one of those for me so far its tsql mql power shell bash javascript python and thats just,2023-02-14 23:28:41+00:00,"Austin, TX",[],positive,Python
